分佈,site_id,區/鄉,大學畢業比例(%),曾經結婚比例(%),年齡中位數,所得中位數(萬元),vote10,vote11,vote12,vote13,vote14,vote15,vote16,vote7,vote8,vote9,投票權人數
南,臺南市安平區,安平區,0.3039,0.6336,40,64.6,0.697248042,0.658549862,0.620714754,0.502212147,0.348343685,0.359892536,0.573751994,0.771430777,0.742713529,0.758901362,25909
南,臺南市白河區,白河區,0.1546,0.6952,48.4937,53.3,0.760755509,0.686326034,0.611762426,0.585259038,0.322947326,0.351430593,0.579085539,0.764314105,0.732361963,0.746551171,9309
南,臺南市北門區,北門區,0.1439,0.7056,47,52.2,0.794997548,0.71692001,0.643335815,0.560993426,0.322387282,0.298480084,0.594987183,0.796291013,0.759151656,0.758905671,3505
南,臺南市北區,北區,0.3237,0.6417,41.1751,64.4,0.709635639,0.670750831,0.630063378,0.506264757,0.349553493,0.360555129,0.572649415,0.764445582,0.738427858,0.76082067,54688
南,臺南市大內區,大內區,0.132,0.7156,49.2286,51.7,0.795821935,0.717662008,0.630451415,0.571534287,0.288162828,0.31503901,0.592031425,0.802013423,0.761360389,0.756470916,3576
南,臺南市東區,東區,0.3809,0.6356,40.7499,69.7,0.695347277,0.662293471,0.630214358,0.482393196,0.346695329,0.367873202,0.575823067,0.765373736,0.740785743,0.758683045,77421
南,臺南市東山區,東山區,0.134,0.7108,48.8694,52.8,0.776458665,0.707291667,0.623239959,0.559490707,0.301791092,0.331956142,0.579082947,0.776012044,0.740257511,0.740629685,5978
南,臺南市官田區,官田區,0.2064,0.6774,44,56.3,0.74393531,0.679770115,0.610027536,0.597953054,0.366039533,0.364413826,0.573095061,0.759985115,0.720491388,0.739836391,8062
南,臺南市關廟區,關廟區,0.1883,0.6718,43.5736,53.9,0.75539707,0.686044991,0.620721013,0.535123967,0.309798658,0.333738028,0.584342499,0.778295888,0.740344114,0.750884893,14154
南,臺南市歸仁區,歸仁區,0.2454,0.6536,39.4093,59,0.727897312,0.674650088,0.623602526,0.530126582,0.345119591,0.347820031,0.571104193,0.769967935,0.738799941,0.759983894,27444
南,臺南市後壁區,後壁區,0.1708,0.7056,49,56,0.767703863,0.702045329,0.626770616,0.585543422,0.31518856,0.34,0.571004453,0.781108528,0.743637725,0.765299915,8173
南,臺南市佳里區,佳里區,0.253,0.6612,41,57.5,0.746437193,0.693382003,0.629670722,0.547913747,0.321528086,0.343465291,0.597460345,0.793048775,0.756363945,0.768506848,23967
南,臺南市將軍區,將軍區,0.1424,0.6947,47.9475,50.6,0.737980472,0.726290667,0.661210704,0.601189739,0.295632246,0.290412099,0.587956096,0.785343511,0.752189276,0.765007541,6550
南,臺南市柳營區,柳營區,0.1989,0.6798,45.8282,57.5,0.766329966,0.69835654,0.625769669,0.556473214,0.308849662,0.336694021,0.595247077,0.79053721,0.756756757,0.760821172,8116
南,臺南市六甲區,六甲區,0.212,0.6731,43.5436,57,0.708578542,0.668951098,0.579651163,0.571460079,0.33577159,0.379195825,0.560195958,0.764376218,0.726270136,0.738976857,8208
南,臺南市龍崎區,龍崎區,0.1135,0.7555,53,51.8,0.793588301,0.724418605,0.633810888,0.51283514,0.290438966,0.293583535,0.585983128,0.784454605,0.750990753,0.773879142,1531
南,臺南市麻豆區,麻豆區,0.2416,0.6761,43,58.1,0.72929139,0.662582781,0.604417,0.613970004,0.342808607,0.376599738,0.564773682,0.763179916,0.732772193,0.743451418,16730
南,臺南市南化區,南化區,0.1391,0.719,48,52.1,0.786319955,0.704861111,0.60419092,0.482719223,0.287230905,0.311373708,0.579206398,0.788091603,0.757959815,0.75245098,3275
